system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,sum,.geo
0000f8c9d84d25b54090,SHN,SHN.3_1,Saint Helena,Tristan da Cunha,TristÃ£o da Cunha,356.39607843137253,
0000b227cf6e6027fead,SHN,SHN.2_1,Saint Helena,Saint Helena,,5974.5137254901965,
0000425a24df98abc728,SHN,SHN.1_1,Saint Helena,Ascension,AscensÃ£o,1087.3333333333333,
0000a8f54daf9a729964,ESH,ESH.4_1,Western Sahara,Oued el Dahab,Ed Dakhla|Oued Eddahab,132440.9647058824,
0000d317156b6f784739,ESH,ESH.1_1,Western Sahara,Boujdour,Bojador,66287.50196078433,
000091ca6c992b3e1c2d,MRT,MRT.12_1,Mauritania,Tiris Zemmour,,56868.584313725485,
00006f1c03981054c396,ESH,ESH.3_1,Western Sahara,Laayoune,El aaiÃºn,303268.57647058833,
00001668573b47a8d958,ESH,ESH.2_1,Western Sahara,Es Semara,Smara,87593.66274509804,
00001b116635795d76c7,MAR,MAR.6_1,Morocco,Guelmim - Es-Semara,,454064.98039215687,
0000abdb4116f29564f9,MAR,MAR.7_1,Morocco,LaÃ¢youne - Boujdour - Sakia El Hamra,,9478.019607843136,
0000652dc562a34887d3,MAR,MAR.4_1,Morocco,Gharb - Chrarda - BÃ©ni Hssen,,2110738.603921567,
00004938b3256d63ce7f,MAR,MAR.14_1,Morocco,Tanger - TÃ©touan,,2824078.352941177,
0000c0944762609b6915,MAR,MAR.15_1,Morocco,Taza - Al Hoceima - Taounate,,2025205.1333333317,
0000aa73af7914844178,ESP,ESP.7_1,Spain,Ceuta y Melilla,,117550.27058823527,
00009e5e45df96a30c31,MAR,MAR.10_1,Morocco,Oriental,,2240009.4980392153,
0000ef5e7eb6970c1d28,DZA,DZA.48_1,Algeria,Tlemcen,Tilimsene|Tlemsane|Tilimsen|TremecÃ©m,1125131.2313725487,
0000ea67a1b3507c6e05,DZA,DZA.3_1,Algeria,AÃ¯n TÃ©mouchent,Ain Tamouchent,438090.25882352935,
00008aa0ec11f4fc2104,DZA,DZA.30_1,Algeria,Mostaganem,Mostaghanem|Mestghanem,889783.2509803929,
000051bbf06319774ff4,DZA,DZA.27_1,Algeria,Mascara,Mouaskar,930692.2235294112,
00005919d4077991ae9e,DZA,DZA.32_1,Algeria,Oran,OrÃ¡n|Orano|OrÃ£o|Ouahran|Ouahrane|Wahran,1706083.5803921563,
0000989a3da7d2f3120e,DZA,DZA.38_1,Algeria,Sidi Bel AbbÃ¨s,Sidi-Bel-Abbes,716501.847058824,
000067f888be35444821,DZA,DZA.36_1,Algeria,SaÃ¯da,,390552.4235294115,
0000c49864d7ec32e52f,DZA,DZA.17_1,Algeria,El Bayadh,El Bayad|El Beyyadh|GÃ©ryville,273280.07058823534,
0000ec4eb93ae14a530a,DZA,DZA.31_1,Algeria,NaÃ¢ma,Naama,233023.19999999995,
0000862acb383ef8dde0,DZA,DZA.7_1,Algeria,BÃ©char,Colomb-BÃ©char|Bechar,325227.7058823529,
0000f4cd148d34f8bc9e,DZA,DZA.1_1,Algeria,Adrar,DuperrÃ©,474528.93333333347,
000075d5221b5f06f09d,MAR,MAR.9_1,Morocco,MeknÃ¨s - Tafilalet,,2477929.458823529,
000039ec14680d41579b,DZA,DZA.44_1,Algeria,Tindouf,Tiaret,63514.30588235294,
000025bab4da20c10534,MAR,MAR.3_1,Morocco,FÃ¨s - Boulemane,,1861992.1490196085,
0000a729f6df5f88baf2,MAR,MAR.11_1,Morocco,Rabat - SalÃ© - Zemmour - Zaer,,2717476.1098039257,
0000f812f55fcc62db10,MAR,MAR.1_1,Morocco,Chaouia - Ouardigha,,2081917.4078431386,
000072342323ae199fe8,MAR,MAR.13_1,Morocco,Tadla - Azilal,,1658344.2274509806,
00008b899c1371d90055,MAR,MAR.12_1,Morocco,Souss - Massa - DraÃ¢,,3580628.9176470577,
0000c9f79b241823157f,MAR,MAR.8_1,Morocco,Marrakech - Tensift - Al Haouz,,3653380.3960784334,
00004e3193531c4657dd,MAR,MAR.5_1,Morocco,Grand Casablanca,,3857187.999999998,
0000716943d026c6a28c,MAR,MAR.2_1,Morocco,Doukkala - Abda,,2231674.898039216,
0000c505d46fa3ffd8a0,MRT,MRT.1_1,Mauritania,Adrar,,66717.12156862745,
00007846c1adc2533a38,MRT,MRT.7_1,Mauritania,Hodh ech Chargui,Eastern Hodh|Hodh Charghi|Hodh Oriental,458472.1019607826,
00007963755b337d8340,MLI,MLI.9_1,Mali,Timbuktu,Timbouctou|Tombouctou|TimbuctÂ|Timbuctu|Tombuktu|TombuctÃº|Tomboucto,840046.1490196077,
00000cc9f86a5150fd8e,MLI,MLI.4_1,Mali,Kidal,,82566.23137254894,
0000cbe5ae5b7597717f,MLI,MLI.2_1,Mali,Gao,,673223.5960784327,
00001585d27a850541e6,BFA,BFA.12_1,Burkina Faso,Sahel,,1388991.913725491,
0000c770f163a3ab2a9e,MLI,MLI.6_1,Mali,Mopti,,2511282.8000000035,
0000046e2cf5fd905b55,BFA,BFA.10_1,Burkina Faso,Nord,,1649874.549019606,
0000f2e9059432203744,BFA,BFA.4_1,Burkina Faso,Centre-Nord,,1692815.2941176477,
0000b4e0282372ebaf08,BFA,BFA.8_1,Burkina Faso,Est,,1760976.5921568633,
0000c9a94e51cd4db13e,BFA,BFA.11_1,Burkina Faso,Plateau-Central,,960723.9764705892,
00002cdc08b8bbaa4fba,BFA,BFA.3_1,Burkina Faso,Centre-Est,,1616660.090196079,
00003de32091289a3c2f,BFA,BFA.7_1,Burkina Faso,Centre,,2701769.9647058803,
0000d565377a34d68200,BFA,BFA.6_1,Burkina Faso,Centre-Sud,,895714.9921568631,
000096cf0d6569f37a73,GHA,GHA.7_1,Ghana,Upper East,,1170189.984313725,
00004f4af390e756511e,TGO,TGO.5_1,Togo,Savanes,RÃ©gion des Savanes,1055226.3843137256,
00004a18528299f30e7b,GHA,GHA.6_1,Ghana,Northern,,2757120.2941176468,
0000f8925c5c9e5607e8,BFA,BFA.5_1,Burkina Faso,Centre-Ouest,,1659431.8549019617,
0000febc2c03e8095cc1,GHA,GHA.8_1,Ghana,Upper West,,771960.8431372556,
0000f1464e81665a2322,BFA,BFA.1_1,Burkina Faso,Boucle du Mouhoun,,2012189.1882352955,
00006d18bde90d5e3bf7,BFA,BFA.9_1,Burkina Faso,Haut-Bassins,,2131805.874509804,
0000d59a255e4eaba06b,BFA,BFA.13_1,Burkina Faso,Sud-Ouest,,868195.9764705873,
0000dc98ea3cd42597eb,BFA,BFA.2_1,Burkina Faso,Cascades,,803460.9019607841,
0000cd6763c3938e8104,MLI,MLI.8_1,Mali,Sikasso,,3236725.0431372556,
0000354d7484d6713067,MLI,MLI.7_1,Mali,SÃ©gou,Segou,2875332.121568633,
0000a50735eb481f8af5,MLI,MLI.5_1,Mali,Koulikoro,,3005604.309803921,
0000b1b6c0305f4229d0,CIV,CIV.10_1,CÃ´te d'Ivoire,Savanes,,1712804.5882352917,
000066dca0376bf6dc20,MLI,MLI.1_1,Mali,Bamako,,2212894.1176470607,
000098dbce621d2ac3b1,MLI,MLI.3_1,Mali,Kayes,,2428980.5686274525,
00004a31ab78db81c6cb,GIN,GIN.4_1,Guinea,Kankan,,2303737.6470588227,
0000e6469980eacff98f,GIN,GIN.3_1,Guinea,Faranah,,1111341.0000000002,
0000c5307888e2131c81,MRT,MRT.8_1,Mauritania,Hodh el Gharbi,Hodh Occidental|Western Hodh,338110.2313725489,
00005d7bcce6b53f4b93,MRT,MRT.2_1,Mauritania,Assaba,AÃ§aba|el-`AÃ§Ã¢ba,345867.7607843128,
0000316580ec4436d09e,MRT,MRT.11_1,Mauritania,Tagant,,88344.64705882352,
