Country,Survey,region,elaccess,radio,tv,refridgerator,tier123,tier4,GID_1
Angola,2015-16 DHS,Region : Cabinda,63.40,60.50,70.10,54.80,0.45,0.55,AGO.4_1
Angola,2015-16 DHS,Region : Zaire,35.10,59.20,53.40,26.80,0.73,0.27,AGO.18_1
Angola,2015-16 DHS,Region : Uíge,18.00,31.60,22.80,10.20,0.90,0.10,AGO.17_1
Angola,2015-16 DHS,Region : Luanda,78.20,71.20,89.60,74.90,0.25,0.75,AGO.11_1
Angola,2015-16 DHS,Region : Cuanza Norte,31.30,41.20,35.90,19.30,0.81,0.19,AGO.6_1
Angola,2015-16 DHS,Region : Cuanza Sul,18.30,43.40,25.10,10.00,0.90,0.10,AGO.7_1
Angola,2015-16 DHS,Region : Malanje,32.10,44.60,42.70,24.90,0.75,0.25,AGO.14_1
Angola,2015-16 DHS,Region : Lunda Norte,25.90,22.90,34.90,16.30,0.84,0.16,AGO.12_1
Angola,2015-16 DHS,Region : Benguela,33.80,51.20,43.60,26.90,0.73,0.27,AGO.2_1
Angola,2015-16 DHS,Region : Huambo,19.40,50.20,32.20,13.60,0.86,0.14,AGO.9_1
Angola,2015-16 DHS,Region : Bié,5.30,32.10,19.40,5.00,0.95,0.05,AGO.3_1
Angola,2015-16 DHS,Region : Moxico,16.80,37.20,28.50,12.20,0.88,0.12,AGO.15_1
Angola,2015-16 DHS,Region : Cuando Cubango,26.40,37.20,34.00,15.30,0.85,0.15,AGO.5_1
Angola,2015-16 DHS,Region : Namibe,47.80,48.30,53.60,37.20,0.63,0.37,AGO.16_1
Angola,2015-16 DHS,Region : Huíla,31.80,43.50,35.20,19.50,0.81,0.20,AGO.10_1
Angola,2015-16 DHS,Region : Cunene,16.60,31.30,17.40,13.40,0.87,0.13,AGO.8_1
Angola,2015-16 DHS,Region : Lunda Sul,21.80,38.30,41.30,18.70,0.81,0.19,AGO.13_1
Angola,2015-16 DHS,Region : Bengo,31.20,56.80,44.40,28.10,0.72,0.28,AGO.1_1
Burkina Faso,2014 MIS,Region : Centre (including Ouagadougou),55.30,68.00,59.40,25.70,0.74,0.26,BFA.7_1
Burkina Faso,2014 MIS,Region : Boucle de Mouhoun,4.60,48.70,12.40,0.80,0.99,0.01,BFA.1_1
Burkina Faso,2014 MIS,Region : Centre-Sud,4.80,62.30,7.60,1.10,0.99,0.01,BFA.6_1
Burkina Faso,2014 MIS,Region : Plateau Central,7.70,70.30,11.00,2.20,0.98,0.02,BFA.11_1
Burkina Faso,2014 MIS,Region : Centre-Est,7.70,61.30,16.30,2.80,0.97,0.03,BFA.3_1
Burkina Faso,2014 MIS,Region : Centre-Nord,2.00,52.80,10.20,0.90,0.99,0.01,BFA.4_1
Burkina Faso,2014 MIS,Region : Centre-Ouest,14.60,55.10,16.20,2.80,0.97,0.03,BFA.5_1
Burkina Faso,2014 MIS,Region : Est,4.60,48.60,5.50,0.90,0.99,0.01,BFA.8_1
Burkina Faso,2014 MIS,Region : Nord,10.60,59.70,21.80,3.30,0.97,0.03,BFA.10_1
Burkina Faso,2014 MIS,Region : Cascades,18.20,62.30,24.00,3.10,0.97,0.03,BFA.2_1
Burkina Faso,2014 MIS,Region : Hauts Bassins,40.50,64.40,47.90,11.50,0.89,0.12,BFA.9_1
Burkina Faso,2014 MIS,Region : Sahel,7.50,42.30,12.60,2.20,0.98,0.02,BFA.12_1
Burkina Faso,2014 MIS,Region : Sud-Ouest,13.20,47.00,14.40,2.30,0.98,0.02,BFA.13_1
Burundi,2016-17 DHS,Region : Bujumbura Mairie,67.60,51.10,39.20,16.90,0.83,0.17,BDI.2_1
Burundi,2016-17 DHS,Region : ..Kayanza,5.50,39.20,2.60,0.30,1.00,0.00,BDI.9_1
Burundi,2016-17 DHS,Region : ..Kirundo,1.70,28.20,1.10,0.20,1.00,0.00,BDI.10_1
Burundi,2016-17 DHS,Region : ..Muyinga,1.50,31.70,1.20,0.10,1.00,0.00,BDI.13_1
Burundi,2016-17 DHS,Region : ..Ngozi,5.70,35.40,3.60,0.40,1.00,0.00,BDI.15_1
Burundi,2016-17 DHS,Region : ..Cankuzo,2.30,39.00,0.70,0.10,1.00,0.00,BDI.5_1
Burundi,2016-17 DHS,Region : ..Gitega,6.60,42.60,3.80,0.40,1.00,0.00,BDI.7_1
Burundi,2016-17 DHS,Region : ..Karusi,1.40,33.20,0.60,0.10,1.00,0.00,BDI.8_1
Burundi,2016-17 DHS,Region : ..Muramvya,2.20,46.10,1.10,0.10,1.00,0.00,BDI.12_1
Burundi,2016-17 DHS,Region : ..Ruyigi,3.20,33.40,2.40,0.20,1.00,0.00,BDI.17_1
Burundi,2016-17 DHS,Region : ..Bubanza,6.50,33.20,2.60,0.40,1.00,0.00,BDI.1_1
Burundi,2016-17 DHS,Region : ..Bujumbura Rural,8.30,33.90,3.00,0.60,0.99,0.01,BDI.3_1
Burundi,2016-17 DHS,Region : ..Cibitoke,8.50,34.70,3.10,0.30,1.00,0.00,BDI.6_1
Burundi,2016-17 DHS,Region : ..Bururi,3.10,40.50,1.90,0.30,1.00,0.00,BDI.4_1
Burundi,2016-17 DHS,Region : ..Makamba,3.50,39.00,2.40,0.20,1.00,0.00,BDI.11_1
Burundi,2016-17 DHS,Region : ..Mwaro,2.30,37.70,0.90,0.10,1.00,0.00,BDI.14_1
Burundi,2016-17 DHS,Region : ..Rutana,3.20,37.00,1.80,1.00,0.99,0.01,BDI.16_1
Congo Democratic Republic,2013-14 DHS,Region : Kinshasa,90.00,64.80,82.90,31.30,0.69,0.31,COD.10_1
Congo Democratic Republic,2013-14 DHS,Region : Bas-Congo,13.50,54.60,20.10,3.90,0.96,0.04,COD.1_1
Congo Democratic Republic,2013-14 DHS,Region : Equateur,1.90,28.70,3.80,0.30,1.00,0.00,COD.2_1
Congo Democratic Republic,2013-14 DHS,Region : Nord-Kivu,8.70,49.60,10.40,1.70,0.98,0.02,COD.19_1
Congo Democratic Republic,2013-14 DHS,Region : Maniema,9.00,45.80,9.60,1.00,0.99,0.01,COD.17_1
Congo Democratic Republic,2013-14 DHS,Region : Sud-Kivu,6.20,47.20,6.50,0.80,0.99,0.01,COD.22_1
Congo Democratic Republic,2013-14 DHS,Region : Katanga,26.40,48.80,25.90,10.30,0.90,0.10,COD.3_1
Congo Democratic Republic,2013-14 DHS,Region : Kasaï Oriental,0.90,37.10,4.70,0.40,1.00,0.00,COD.8_1
Ethiopia,2016 DHS,Region : Tigray,36.00,28.50,17.40,6.70,0.93,0.07,ETH.11_1
Ethiopia,2016 DHS,Region : Affar,30.90,20.30,18.40,8.10,0.92,0.08,ETH.2_1
Ethiopia,2016 DHS,Region : Amhara,24.10,20.40,9.00,2.00,0.98,0.02,ETH.3_1
Ethiopia,2016 DHS,Region : Oromiya,21.00,30.40,11.90,4.50,0.96,0.05,ETH.8_1
Ethiopia,2016 DHS,Region : Somali,12.30,9.50,6.60,2.10,0.98,0.02,ETH.9_1
Ethiopia,2016 DHS,Region : Ben-Gumz,23.10,26.00,8.20,2.60,0.97,0.03,ETH.4_1
Ethiopia,2016 DHS,Region : SNNP,15.70,28.80,6.20,1.30,0.99,0.01,ETH.10_1
Ethiopia,2016 DHS,Region : Gambela,41.70,18.70,21.00,12.70,0.87,0.13,ETH.6_1
Ethiopia,2016 DHS,Region : Harari,80.10,48.90,55.30,22.60,0.77,0.23,ETH.7_1
Ethiopia,2016 DHS,Region : Addis Abeba,99.40,64.70,82.60,45.30,0.55,0.45,ETH.1_1
Ghana,2016 MIS,Region : Central,70.50,55.70,47.40,20.30,0.80,0.20,GHA.3_1
Ghana,2016 MIS,Region : Western,77.00,64.00,60.80,31.30,0.69,0.31,GHA.10_1
Ghana,2016 MIS,Region : Greater Accra,91.70,69.00,82.50,56.30,0.44,0.56,GHA.5_1
Ghana,2016 MIS,Region : Volta,83.70,63.40,56.60,29.70,0.70,0.30,GHA.9_1
Ghana,2016 MIS,Region : Eastern,72.60,63.30,54.40,30.60,0.69,0.31,GHA.4_1
Ghana,2016 MIS,Region : Ashanti,85.20,77.60,72.50,41.00,0.59,0.41,GHA.1_1
Ghana,2016 MIS,Region : Brong-Ahafo,79.20,67.60,61.10,26.70,0.73,0.27,GHA.2_1
Ghana,2016 MIS,"Region : Northern, Upper West, Upper East",62.30,49.30,45.60,16.60,0.83,0.17,GHA.6_1
Ghana,2016 MIS,Region : ..Northern,65.80,48.50,49.90,18.10,0.82,0.18,GHA.6_1
Ghana,2016 MIS,Region : ..Upper West,65.50,44.30,38.80,12.20,0.88,0.12,GHA.8_1
Ghana,2016 MIS,Region : ..Upper East,51.20,55.10,39.40,15.90,0.84,0.16,GHA.7_1
Malawi,2015-16 DHS,Region : ..Chitipa,7.80,47.30,8.20,3.90,0.96,0.04,MWI.5_1
Malawi,2015-16 DHS,Region : ..Karonga,8.70,42.90,9.60,4.90,0.95,0.05,MWI.8_1
Malawi,2015-16 DHS,Region : ..Mzimba,4.00,39.50,10.00,2.20,0.98,0.02,MWI.17_1
Malawi,2015-16 DHS,Region : ..Rumphi,15.00,47.30,16.80,5.80,0.94,0.06,MWI.25_1
